date,users
2/25/2020,19
2/26/2020,10
2/27/2020,22
2/28/2020,22
2/29/2020,8
3/1/2020,8
3/2/2020,36
3/3/2020,27
3/4/2020,26
3/5/2020,33
3/6/2020,20
3/7/2020,5
3/8/2020,7
3/9/2020,13
3/10/2020,12
3/11/2020,23
3/12/2020,30
3/13/2020,15
3/14/2020,10
3/15/2020,27
3/16/2020,18
3/17/2020,22
3/18/2020,23
3/19/2020,24
3/20/2020,19
3/21/2020,10
3/22/2020,9
3/23/2020,29
3/24/2020,29
3/25/2020,35
3/26/2020,26
3/27/2020,29
3/28/2020,23
3/29/2020,24
3/30/2020,28
3/31/2020,28
4/1/2020,35
4/2/2020,38
4/3/2020,24
4/4/2020,31
4/5/2020,25
4/6/2020,28
4/7/2020,45
4/8/2020,33
4/9/2020,39
4/10/2020,31
4/11/2020,14
4/12/2020,25
4/13/2020,27
4/14/2020,28
4/15/2020,34
4/16/2020,36
4/17/2020,29
4/18/2020,22
4/19/2020,30
4/20/2020,50
4/21/2020,42
4/22/2020,35
4/23/2020,34
4/24/2020,39
4/25/2020,24
4/26/2020,19
4/27/2020,48
4/28/2020,40
4/29/2020,50
4/30/2020,40
5/1/2020,29
5/2/2020,26
5/3/2020,32
5/4/2020,54
5/5/2020,59
5/6/2020,91
5/7/2020,95
5/8/2020,81
5/9/2020,54
5/10/2020,58
5/11/2020,90
5/12/2020,74
5/13/2020,88
5/14/2020,89
5/15/2020,65
5/16/2020,48
5/17/2020,47
5/18/2020,60
5/19/2020,93
5/20/2020,75
5/21/2020,62
5/22/2020,79
5/23/2020,37
5/24/2020,46
5/25/2020,57
5/26/2020,61
5/27/2020,63
5/28/2020,55
5/29/2020,68
5/30/2020,35
5/31/2020,58
6/1/2020,57
6/2/2020,71
6/3/2020,82
6/4/2020,67
6/5/2020,55
6/6/2020,34
6/7/2020,37
6/8/2020,72
6/9/2020,76
6/10/2020,92
6/11/2020,86
6/12/2020,67
6/13/2020,36
6/14/2020,24
6/15/2020,48
6/16/2020,68
6/17/2020,93
6/18/2020,93
6/19/2020,91
6/20/2020,36
6/21/2020,54
6/22/2020,88
6/23/2020,102
6/24/2020,89
6/25/2020,108
6/26/2020,83
6/27/2020,56
6/28/2020,53
6/29/2020,99
6/30/2020,99
7/1/2020,93
7/2/2020,115
7/3/2020,97
7/4/2020,54
7/5/2020,47
7/6/2020,83
7/7/2020,111
7/8/2020,116
7/9/2020,121
7/10/2020,94
7/11/2020,61
7/12/2020,52
7/13/2020,104
7/14/2020,124
7/15/2020,117
7/16/2020,108
7/17/2020,72
7/18/2020,53
7/19/2020,42
7/20/2020,99
7/21/2020,115
7/22/2020,88
7/23/2020,105
7/24/2020,116
7/25/2020,82
7/26/2020,66
7/27/2020,138
7/28/2020,152
